"","epi_ctry","epi_subj","epi_demo_sex","epi_demo_age","epi_demo_edu","epi_demo_edu_8_TEXT","epi_demo_occ","epi_demo_pocc","epi_demo_ethn","epi_demo_chn_howl","epi_demo_vut_whis","epi_demo_whli","epi_demo_howl","epi_demo_thl_ses","epi_demo_rlgn","epi_demo_prel","epi_demo_chur","epi_demo_ubru","epi_demo_ses_num","epi_demo_ses_cat","epi_demo_howr_cat","epi_demo_howr_num","epi_demo_affr_num","epi_demo_tung_num","epi_demo_ytng_num","epi_demo_affr_cat","epi_demo_tung_cat","epi_demo_ytng_cat","epi_version","epi_recr","epi_wher","epi_whoc","epi_inlang","epi_charc"
"11","China",20466,"Female",45,NA,NA,"economy","worker","Han","45",NA,"Shanghai",NA,NA,"Buddhism","none","temples","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"12","China",20469,"Female",37,NA,NA,"mechanical engineering","worker","Han","37",NA,"Shanghai",NA,NA,"None","Buddhism","None","Rural",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"13","China",20470,"Female",33,NA,NA,"nursing","farmers","Han","33",NA,"Shanghai",NA,NA,"Buddhism","Buddhism","None","Rural",-1,"a little poorer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"14","China",20403,"Female",40,NA,NA,"Doctor","Staff member","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","Temple (worship), Church (visit/tour)","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"15","China",20404,"Male",37,NA,NA,"Doctor","Labor worker","Han","Missing Data",NA,"Guizhou",NA,NA,"None","None","Temple every 2 to 3 months","Urban",1,"a little richer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"16","China",20407,"Female",41,NA,NA,"Nurse","Business man","Han","Missing Data",NA,"Shanghai",NA,NA,"Buddhism","None","Temple","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"17","China",20408,"Female",36,NA,NA,"Nurse","Labor","Han","Missing Data",NA,"Urumqi. Xinjiang",NA,NA,"None","None","None","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"18","China",20411,"Female",23,NA,NA,"Staff","Mom: Housewife, Dad: Civil servant","Han","Missing Data",NA,"Maanshan, Anhui 5 years",NA,NA,"None","Dad: Buddhism","None","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"19","China",20412,"Female",24,NA,NA,"Social work","Business man","Han","Missing Data",NA,"Huaian, Jiangsu 2 years",NA,NA,"None","Mom: Christianity","For visiting","Urban",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"20","China",20415,"Female",24,NA,NA,"White collar worker","Freelance, Teacher","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"21","China",20416,"Male",27,NA,NA,"White collar worker","Driver, Staff","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"22","China",20419,"Female",29,NA,NA,"Staff","Freelance","Han","Missing Data",NA,"Cangzhou, Anhui 5 years",NA,NA,"None","Dad: Christianity","None","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"23","China",20420,"Male",30,NA,NA,"Staff","Staff","Han","Missing Data",NA,"Shanghai",NA,NA,"None","Mom: Buddhist, Dad: Christianity","Church","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"24","China",20423,"Female",24,NA,NA,"Staff","Individual","Han",">1",NA,"Hubei",NA,NA,"None","None","Tao, once a year/ when have time, worship.","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"25","China",20424,"Female",27,NA,NA,"Staff","Businessman, Nurse","Han","1",NA,"Hefei, Anhui",NA,NA,"None","None","Temple, (travel), worship, have bodhisattvas at home","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"26","China",20427,"Male",55,NA,NA,"Civil servants","Farmer","Han","25",NA,"Xinxiang, Henan",NA,NA,"None","None","None","Rural",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"27","China",20428,"Male",63,NA,NA,"Civil servant","Farmer","Han","20",NA,"Hunan",NA,NA,"None","None","None","Rural",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"28","China",20431,"Male",27,NA,NA,"Staff","Teacher, Producer","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","Positive spiritual power. At temple  Burn incense and worship Buddha, once or twice a year. Go when think of it.","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"29","China",20432,"Male",60,NA,NA,"Missing Data","Missing Data","Missing Data","Missing Data",NA,"Shanghai",NA,NA,"None","Missing Data","Temple, a few times a year",NA,1,"a little richer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"30","China",20435,"Male",73,NA,NA,"Security Staff","Cadre","Han","73",NA,"Jiangsu",NA,NA,"None","None","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"31","China",20436,"Male",70,"Other","special secondary school","Management","Labor","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","Temple","Urban",0,"about the same","agree",1,NA,NA,NA,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"32","China",20439,"Male",40,NA,NA,"Staff","Farmer","Han","12",NA,"Jiangsu",NA,NA,"None","None","None, just the family tradition burn incense, but it's only the tradition","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"33","China",20440,"Male",56,"No HS degree",NA,"Security staff","Farmer","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","None / travel","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"34","China",20443,"Female",60,NA,NA,"Staff","Staff, Housewife","Han","Missing Data",NA,"Shanghai",NA,NA,"None","Buddhism","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"35","China",20447,"Female",53,NA,NA,"Labor","Labor","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","neither agree nor disagree",0,NA,NA,NA,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"36","China",20448,"Female",54,NA,NA,"Driver","Labor","Han","Missing Data",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"37","China",20451,"Male",21,"Bachelors degree",NA,"International politics","Government staff, Teachers","Han","3",NA,"Taizhou, Zhejiang",NA,NA,"Buddhism, incline to deism","Bhuddhism","Puh Toh Tze Temple, temple near home, went there very often during middle school","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Yifan Yang","Chinese","0"
"38","China",20452,"Female",21,NA,NA,"Restaurant staff","Refuse","Han","Missing Data",NA,"Anhui",NA,NA,"None","None","None","Urban",-2,"much poorer","neither agree nor disagree",0,NA,NA,NA,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Yifan Yang","Chinese","0"
"39","China",20455,"Male",21,"Bachelors degree",NA,"Electronic engineer","Teacher","Han","3",NA,"Ji'an, Jiangxi",NA,NA,"Islam (previous Buddhism). Not specific religion","A bit of Buddhism","Mosque","Rural",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Yifan Yang","Chinese","0"
"40","China",20456,"Female",82,NA,NA,"Retired and taking care of grandson, Accountant","Farmer","Korean","12",NA,"Jilin, Dongbei",NA,NA,"None","None","None","Rural",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Yifan Yang","Chinese","0"
"41","China",20560,"Male",47,"Other","[Not translated]","[Not translated]","[Not translated]","Han","14",NA,"[Not translated]",NA,NA,"None","[Not translated]","[Not translated]","Rural",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang , Xiaodiao Pu OR Yifan Yang","Chinese","0"
"42","China",20444,"Female",64,"No HS degree",NA,"Downhole worker","Farmer","Han","18",NA,"Sichuan",NA,NA,"Christian","Buddhism","Church","Rural",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","1"
"43","China",20462,"Male",38,NA,NA,"Business administration","Father: technician in factory","Han","38",NA,"Shanghai",NA,NA,"Christian","Mother: Christian","Church (in childhood)","Rural",-1,"a little poorer","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","1"
"44","China",20401,"Male",63,NA,NA,"Professor of medicine","Medical doctors","Han","mdata",NA,"Henan Province, Xinxiang City",NA,NA,"None","None","None","Urban",0,"about the same","strongly disagree",-2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"45","China",20402,"Male",63,NA,NA,"Doctor","Labor","Han","mdata",NA,"Jiangsu",NA,NA,"No","No","not trans","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"46","China",20405,"Female",35,NA,NA,"not trans","not trans","not trans","mdata",NA,"not trans",NA,NA,"None","None","Only travel (none)","Urban",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"47","China",20406,"Male",34,NA,NA,"Doctor","Teacher","Han","mdata",NA,"Shanghai",NA,NA,"None","None","Church","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"48","China",20409,"Female",28,NA,NA,"Nurse","Labor","Han","mdata",NA,"Shanghai",NA,NA,"None","None","Temple","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"49","China",20410,"Female",34,NA,NA,"Nurse","Staff","Han","mdata",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"50","China",20413,"Female",20,NA,NA,"student","Freelance","Han","2",NA,"Nanyang, Henan",NA,NA,"None","Mom: Christianity","Church (Mother took her)","Rural",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"51","China",20414,"Female",24,NA,NA,"student","individual business","Han","2",NA,"Xinxiang, Henan",NA,NA,"None","None","None","Urban",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"52","China",20417,"Female",43,NA,NA,"teacher","musician, doctor","The Chaoxian [Korean] nationality","Xinjiang",NA,"2",NA,NA,"None","Catholicism -> None (mother)","None","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"53","China",20418,"Male",43,NA,NA,"staff","staff","Han","3",NA,"Shanxi",NA,NA,"None","None","None","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"54","China",20421,"Male",26,NA,NA,"Staff","Chemical, financial staff","Han","23",NA,"Urumchi",NA,NA,"None","None","None","Urban",1,"a little richer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"55","China",20422,"Female",24,NA,NA,"staff","Civil servant, teacher","Mongolian","2",NA,"Chifeng, Inner Mongolia",NA,NA,"None","None","None","Urban",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"56","China",20425,"Male",25,NA,NA,"Consultant","Civil servant","Han","more than a year",NA,"Xuzhou, Jiangsu",NA,NA,"None","None","None","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"57","China",20426,"Female",56,NA,NA,"environmental sanitation","environmental sanitation","Han","mdata",NA,"Shanghai",NA,NA,"None","None","Temple, burn incense and worship Buddha, once or twice a year","Urban",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"58","China",20429,"Male",61,NA,NA,"civil servant","retired","Han","mdata",NA,"Shanghai",NA,NA,"None","None","None","Rural",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"59","China",20430,"Female",50,NA,NA,"Civil servant","engineer","Han","mdata",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"60","China",20433,"Male",62,NA,NA,"Labor worker","Labor worker","Han","mdata",NA,"Shanghai",NA,NA,"None","None","visit","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"61","China",20434,"Male",78,NA,NA,"cadre","Business man","Han","70",NA,"Anhui",NA,NA,"None","None","None","Urban",1,"a little richer","strongly disagree",-2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"62","China",20437,"Male",39,NA,NA,"Manager, middle school","Labor","Han","18",NA,"Quebi, Hainan",NA,NA,"Buddhism (believe)","Parents (Buddhist)","Temple","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"63","China",20438,"Male",46,NA,NA,"Junior college","farmer","Han","10",NA,"Hubei",NA,NA,"None","None","temple","Rural",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"64","China",20441,"Female",66,NA,NA,"Teacher","normal school, worker manager","Han","mdata",NA,"Shanghai",NA,NA,"None","Christianity","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"65","China",20442,"Female",66,NA,NA,"Finance","post office, labor","Han","10",NA,"Anhui",NA,NA,"None","Buddhism (father)","None","Urban",-1,"a little poorer","disagree",-1,NA,NA,NA,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"66","China",20445,"Male",59,NA,NA,"Engineer","special secondary school, Engineer","Han","mdata",NA,"Shanghai",NA,NA,"None","None","None, Travel","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"67","China",20446,"Male",47,NA,NA,"Professor","doctor's degree, cadre. teacher","Han","12",NA,"mdata",NA,NA,"None","None","None","Rural",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"68","China",20449,"Male",69,"Bachelors degree",NA,"freelance","Teacher. Farmer","Han","16",NA,"Xinxiang, Henan",NA,NA,"None","None","None","Rural",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"69","China",20450,"Female",20,"Bachelors degree",NA,"Sociology student","Railway system","Han","20",NA,"Shanghai",NA,NA,"pantheism. theoretically believe","rather believe it to be true","Buddhism Temple","Urban",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Yifan Yang","Chinese","0"
"70","China",20453,"Female",35,NA,NA,"mdata","farmer","Han","12",NA,"Inner Mongolia",NA,NA,"Buddhism","Atheist","Mount Putuo","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Yifan Yang","Chinese","0"
"71","China",20454,"Female",23,NA,NA,"Sociology","Teacher (middle school)","Han","1",NA,"Weian, jiangsu",NA,NA,"(Peripheral)(Not to count) Christianity","None","Protestantism Church","Urban",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"72","China",20473,"Male",45,NA,NA,"finance","staff","Han","45",NA,"Shanghai",NA,NA,"None","None","None","Urban",-1,"a little poorer","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"73","China",20474,"Female",65,NA,NA,"chemical engineering","workers","Han","65",NA,"Shanghai",NA,NA,"Buddhism","mdata","mdata","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"74","China",20457,"Male",22,NA,NA,"Stomatologist","Doctor","Han","1 year",NA,"Zhangzhou City, Fujian Province",NA,NA,"True Jesus Church","True Jesus Church","True Jesus Church","Urban",-1,"a little poorer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Anonymous Church in Shanghai","Yifan Yang","Chinese","1"
"75","China",20458,"Female",25,NA,NA,"Data Analyst","Factory production","not trans","2",NA,"Putian City, Fujian Province",NA,NA,"True Jesus Church","Not believe (any religion)","True Jesus Church","Urban",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Anonymous Church in Shanghai","Yifan Yang","Chinese","1"
"76","China",20558,"Female",58,NA,NA,"Public administration","Mom: Teacher, Civil servant, Dad: Economic administration","Han","58",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"77","China",20557,"Female",50,NA,NA,"Finance","Teacher and nurse","Han","32",NA,"Antou province",NA,NA,"None","None","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"78","China",20554,"Female",55,NA,NA,"Accounting","Farmer","Han","55",NA,"Shanghai",NA,NA,"Buddhism","None","Temples","Rural",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"79","China",20553,"Female",70,NA,NA,"Accounting","Worker","Han","70",NA,"Shanghai",NA,NA,"Buddhism","None","None","Urban",1,"a little richer","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"80","China",20552,"Female",54,NA,NA,"machine design","farmer","Han","54",NA,"Shanghai",NA,NA,"Buddhism","Buddhism","Not trans","Rural",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"81","China",20555,"Female",70,NA,NA,"secondary school","teachers","Han","20",NA,"Jiangsu Province",NA,NA,"None","None","None","Urban",-1,"a little poorer","strongly disagree",-2,0,0,0,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"82","China",20556,"Female",48,NA,NA,"language","worker","Han","48",NA,"Shanghai",NA,NA,"None","None","None","Urban",1,"a little richer","disagree",-1,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"83","China",20559,"Female",63,NA,NA,"accounting","farmer & cook","Han","63",NA,"Shanghai",NA,NA,"Buddhism","mdata","temple (once/twice a year)","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"84","China",20477,"Female",65,NA,NA,"Retired Typist, freelance","Labor","Han","Missing Data",NA,"Missing Data",NA,NA,"None","Missing Data","Temple","Urban",0,"about the same","agree",1,NA,NA,NA,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"85","China",20478,"Female",52,NA,NA,"Freelance","Farmer","Han","Missing Data",NA,"Missing Data",NA,NA,"None","Missing Data","None","Rural",-1,"a little poorer","strongly disagree",-2,NA,NA,NA,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"86","China",20481,"Female",57,NA,NA,"Audit","Labor","Han","Missing Data",NA,"Missing Data",NA,NA,"None","Missing Data","Traveling and visiting","Urban",0,"about the same","disagree",-1,NA,NA,NA,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"87","China",20482,"Female",49,NA,NA,"Accountant","Labor","Han","Missing Data",NA,"Missing Data",NA,NA,"None","Missing Data","Temple","Rural",0,"about the same","neither agree nor disagree",0,NA,NA,NA,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"88","China",20485,"Male",24,NA,NA,"Aduit","Civil servant","Han","Missing Data",NA,"Missing Data",NA,NA,"None","Missing Data","Buddhist altar (Grandma's)","Urban",0,"about the same","disagree",-1,NA,NA,NA,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"89","China",20486,"Male",52,NA,NA,"Accountant","Farmer","Han","Missing Data",NA,"Missing Data",NA,NA,"Buddhism","Missing Data","Temple, Once a month",NA,0,"about the same","agree",1,NA,NA,NA,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"90","China",20490,"Female",21,NA,NA,"Student","Teacher","Han","Missing Data",NA,"Jilin",NA,NA,"None","None","None","Urban",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","0"
"91","China",20489,"Male",42,NA,NA,"Doctor","Teacher, Labor","Han","Missing Data",NA,"Shanghai",NA,NA,"Christianity","Christianity","Church","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,2,"Face to face","Public spaces around Shanghai","Tiange Zhang","Chinese","1"
